Digi-Key, 535-9032-ND, 24984, 1, https://octopart.com/click/track?ak=8308f058&sig=0dd0a11&sid=459&ppid=315481&vpid=1040498&ct=offers, 15, None, None, GBP, 0.16, 0.16, 0.16, 0.16, 0.075117
Farnell, 1862377, 3613, 1, https://octopart.com/click/track?ak=8308f058&sig=01d0119&sid=819&ppid=315481&vpid=202680227&ct=offers, -, None, None, GBP, 0.2, 0.2, 0.2, 0.0992, 0.0992
Mouser, 815-AB26T-32.768KHZ, 23067, 1, https://octopart.com/click/track?ak=8308f058&sig=0651ffa&sid=2401&ppid=315481&vpid=37601451&ct=offers, -, None, None, GBP, 0.17, 0.17, 0.17, 0.17, 0.075117

Newark, 40Y2065, 9301, 5, https://octopart.com/click/track?ak=8308f058&sig=0fe4d66&sid=2402&ppid=315481&vpid=503286920&ct=offers, -, None, None, GBP, 0.18, 0.18, 0.18, 0.09428, 0.09428
Newark, 89K0457, 3613, 1, https://octopart.com/click/track?ak=8308f058&sig=0736ce5&sid=2402&ppid=315481&vpid=34978085&ct=offers, -, None, None, GBP, 0.17, 0.17, 0.17, 0.08048, 0.08048

RS Components, 1710553, 3200, 10, https://octopart.com/click/track?ak=8308f058&sig=05ada9a&sid=10022&ppid=315481&vpid=500992787&ct=offers, -, None, None, GBP, -, -, 0.07, 0.07, 0.07
RS Components, 1710198, 2040, 1000, https://octopart.com/click/track?ak=8308f058&sig=0e23e8c&sid=10022&ppid=315481&vpid=468988744&ct=offers, -, None, None, GBP, -, -, -, 0.068, 0.068



