Digi-Key, AD595CQ-ND, 588, 1, https://octopart.com/click/track?ak=8308f058&sig=0c54747&sid=459&ppid=6708&vpid=1494160&ct=offers, 10, None, None, GBP, 20.79, 20.79, 16.3694, 16.3694, 16.3694
Mouser, 584-AD595CQ, 0, 1, https://octopart.com/click/track?ak=8308f058&sig=0c3b9ca&sid=2401&ppid=6708&vpid=82780698&ct=offers, -, None, None, GBP, 19.38, 19.38, 19.38, 19.38, 14.502173
RS Components, 1698737P, 115, 13, https://octopart.com/click/track?ak=8308f058&sig=00cd9a5&sid=10022&ppid=6708&vpid=437437673&ct=offers, -, None, None, GBP, -, 17.4, 17.4, 17.4, 17.4
RS Components, 1698737, 12, 1, https://octopart.com/click/track?ak=8308f058&sig=03a8d05&sid=10022&ppid=6708&vpid=198980023&ct=offers, -, None, None, GBP, 18.67, 17.4, 17.4, 17.4, 17.4


RS Components, 1067014, 0, 25, https://octopart.com/click/track?c=1&ak=8308f058&sig=050b50c&sid=10022&ppid=6708&vpid=268565939&ct=offers, -, None, None, GBP, -, 16.55, 16.55, 16.55, 16.55




