Digi-Key, 455-2247-ND, 502706, 1, https://octopart.com/click/track?ak=8308f058&sig=027bc86&sid=459&ppid=7424860&vpid=131671947&ct=offers, 24, None, None, GBP, 0.11, 0.11, 0.11, 0.11, 0.040142
RS Components, 8201554P, 11330, 125, https://octopart.com/click/track?ak=8308f058&sig=064da30&sid=10022&ppid=7424860&vpid=437487312&ct=offers, -, None, None, GBP, -, -, -, 0.06, 0.06
RS Components, 8201554, 4950, 5, https://octopart.com/click/track?ak=8308f058&sig=07f0bcd&sid=10022&ppid=7424860&vpid=203344539&ct=offers, -, None, None, GBP, 0.09, 0.09, 0.09, 0.06, 0.06

RS Components, 1667312, 0, 1, https://octopart.com/click/track?c=1&ak=8308f058&sig=0de4cde&sid=10022&ppid=7424860&vpid=501096087&ct=offers, -, None, None, GBP, 41.34, 41.34, 41.34, 41.34, 41.34




Newark, 73M9415, 199574, 1, https://octopart.com/click/track?ak=8308f058&sig=08a754e&sid=2402&ppid=7753615&vpid=11763346&ct=offers, -, None, None, GBP, 0.17, 0.17, 0.17, 0.08202, 0.08202



