Digi-Key, 497-3707-1-ND, 39980, 1, https://octopart.com/click/track?ak=8308f058&sig=0e511ab&sid=459&ppid=324429&vpid=1777642&ct=offers, 17, None, None, GBP, 0.31, 0.31, 0.31, 0.07477, 0.07477
Digi-Key, 497-3707-6-ND, 39980, 1, https://octopart.com/click/track?ak=8308f058&sig=022efa2&sid=459&ppid=324429&vpid=33961758&ct=offers, 17, None, None, GBP, 0.31, 0.31, 0.31, 0.07477, 0.07477
Digi-Key, 497-3707-2-ND, 39000, 3000, https://octopart.com/click/track?ak=8308f058&sig=0cf2152&sid=459&ppid=324429&vpid=1734302&ct=offers, 17, None, None, GBP, -, -, -, -, 0.048397
Farnell, 1467544, 19300, 5, https://octopart.com/click/track?ak=8308f058&sig=0b2092e&sid=819&ppid=324429&vpid=139688094&ct=offers, -, None, None, GBP, 0.23, 0.23, 0.23, 0.0515, 0.0515
RS Components, 7146879, 260000, 100, https://octopart.com/click/track?ak=8308f058&sig=036a09e&sid=10022&ppid=324429&vpid=199116771&ct=offers, -, None, None, GBP, -, -, 0.084, 0.084, 0.084
RS Components, 7146879P, 8800, 200, https://octopart.com/click/track?ak=8308f058&sig=0469951&sid=10022&ppid=324429&vpid=437570143&ct=offers, -, None, None, GBP, -, -, 0.084, 0.084, 0.084
Mouser, 511-BAT60JFILM, 49165, 1, https://octopart.com/click/track?ak=8308f058&sig=074d4d5&sid=2401&ppid=324429&vpid=37598751&ct=offers, -, None, None, GBP, 0.28, 0.28, 0.28, 0.28, 0.053655

RS Components, 1458781, 0, 2000, https://octopart.com/click/track?c=1&ak=8308f058&sig=031b2db&sid=10022&ppid=324429&vpid=501297508&ct=offers, -, None, None, GBP, -, -, -, 0.071, 0.071
Newark, 58M3986, 14955, 5, https://octopart.com/click/track?ak=8308f058&sig=01a2ce6&sid=2402&ppid=324429&vpid=89290968&ct=offers, -, None, None, GBP, 0.28, 0.28, 0.28, 0.06975, 0.06975
Newark, 07X1772, 3000, 3000, https://octopart.com/click/track?ak=8308f058&sig=02a7355&sid=2402&ppid=324429&vpid=120975396&ct=offers, -, None, None, GBP, -, -, -, -, 0.055954
Newark, 89K1218, 1662, 1, https://octopart.com/click/track?ak=8308f058&sig=0136378&sid=2402&ppid=324429&vpid=3056390&ct=offers, -, None, None, GBP, 0.28, 0.28, 0.28, 0.06975, 0.06975







