RS Components, 3141823, 11424, 1, https://octopart.com/click/track?ak=8308f058&sig=0ef9825&sid=10022&ppid=354671&vpid=199116778&ct=offers, -, None, None, GBP, 0.96, 0.96, 0.2, 0.2, 0.2
Digi-Key, 497-6656-5-ND, 0, 1, https://octopart.com/click/track?ak=8308f058&sig=0d569d9&sid=459&ppid=354671&vpid=33528745&ct=offers, 39, None, None, GBP, 0.48, 0.48, 0.48, 0.18662, 0.18662
Mouser, 511-BD139, 808, 1, https://octopart.com/click/track?ak=8308f058&sig=0886f33&sid=2401&ppid=354671&vpid=37758668&ct=offers, -, None, None, GBP, 0.46, 0.46, 0.46, 0.46, 0.151767
RS Components, 1686075, 0, 50, https://octopart.com/click/track?c=1&ak=8308f058&sig=09cc904&sid=10022&ppid=354671&vpid=501297538&ct=offers, -, None, None, GBP, -, 0.346, 0.346, 0.346, 0.346
Newark, 33X4079, 14043, 5, https://octopart.com/click/track?ak=8308f058&sig=0edbe77&sid=2402&ppid=354671&vpid=179180756&ct=offers, -, None, None, GBP, 0.44, 0.44, 0.44, 0.09658, 0.09658





