Digi-Key, PCE3782CT-ND, 171143, 1, https://octopart.com/click/track?ak=8308f058&sig=0504b74&sid=459&ppid=39480985&vpid=115123552&ct=offers, 19, None, None, GBP, 0.28, 0.28, 0.28, 0.07351, 0.07351
Digi-Key, PCE3782DKR-ND, 171143, 1, https://octopart.com/click/track?ak=8308f058&sig=0cfb5c5&sid=459&ppid=39480985&vpid=115123553&ct=offers, 19, None, None, GBP, 0.28, 0.28, 0.28, 0.07351, 0.07351
Digi-Key, PCE3782TR-ND, 168000, 2000, https://octopart.com/click/track?ak=8308f058&sig=0be006f&sid=459&ppid=39480985&vpid=115123554&ct=offers, 19, None, None, GBP, -, -, -, -, 0.043736
Mouser, 667-EEE-FK1C100R, 46866, 1, https://octopart.com/click/track?ak=8308f058&sig=0679321&sid=2401&ppid=39480985&vpid=115534295&ct=offers, -, None, None, GBP, 0.25, 0.25, 0.25, 0.25, 0.053655
Newark, 89K7299, 1978, 1, https://octopart.com/click/track?ak=8308f058&sig=096c35b&sid=2402&ppid=39480985&vpid=118542051&ct=offers, -, None, None, GBP, 0.25, 0.25, 0.25, 0.06592, 0.06592




Farnell, 2753077, 36000, 2000, https://octopart.com/click/track?ak=8308f058&sig=0b5337d&sid=819&ppid=3851537&vpid=456598527&ct=offers, -, None, None, GBP, -, -, -, -, 0.0515
RS Components, 7271000P, 37732, 400, https://octopart.com/click/track?ak=8308f058&sig=0a4d9d5&sid=10022&ppid=3851537&vpid=437552293&ct=offers, -, None, None, GBP, -, -, -, 0.063, 0.063
RS Components, 7271000, 8750, 25, https://octopart.com/click/track?ak=8308f058&sig=0d6877a&sid=10022&ppid=3851537&vpid=199097090&ct=offers, -, None, None, GBP, -, -, -, 0.063, 0.063
RS Components, 9233341, 0, 1, https://octopart.com/click/track?c=1&ak=8308f058&sig=048963c&sid=10022&ppid=3851537&vpid=265579515&ct=offers, -, None, None, GBP, 110.68, 110.68, 110.68, 110.68, 110.68
Newark, 62W6924, 1620, 5, https://octopart.com/click/track?ak=8308f058&sig=0ac260b&sid=2402&ppid=3851537&vpid=265590889&ct=offers, -, None, None, GBP, 0.25, 0.25, 0.25, 0.06592, 0.06592








