Farnell, 2408659, 13000, 1000, https://octopart.com/click/track?ak=8308f058&sig=0eef242&sid=819&ppid=21274271&vpid=139277756&ct=offers, -, None, None, GBP, -, -, -, 0.0786, 0.0786
RS Components, 7472499P, 10979, 50, https://octopart.com/click/track?ak=8308f058&sig=0ad9d4a&sid=10022&ppid=21274271&vpid=437552747&ct=offers, -, None, None, GBP, -, -, 0.141, 0.141, 0.141
RS Components, 7472499, 2700, 10, https://octopart.com/click/track?ak=8308f058&sig=0eca88f&sid=10022&ppid=21274271&vpid=199097331&ct=offers, -, None, None, GBP, -, -, 0.141, 0.141, 0.141
RS Components, 1034750, 0, 1, https://octopart.com/click/track?c=1&ak=8308f058&sig=0b0bfa1&sid=10022&ppid=21274271&vpid=265579529&ct=offers, -, None, None, GBP, 86.13, 86.13, 86.13, 86.13, 86.13
Newark, 62W7036, 7814, 1, https://octopart.com/click/track?ak=8308f058&sig=06d0bba&sid=2402&ppid=21274271&vpid=271850603&ct=offers, -, None, None, GBP, 0.42, 0.42, 0.148, 0.148, 0.148


Digi-Key, P15086CT-ND, 33038, 1, https://octopart.com/click/track?ak=8308f058&sig=0a882b5&sid=459&ppid=21270582&vpid=44783097&ct=offers, 19, None, None, GBP, 0.4, 0.4, 0.1383, 0.1383, 0.1383
Digi-Key, P15086DKR-ND, 33038, 1, https://octopart.com/click/track?ak=8308f058&sig=0a98f20&sid=459&ppid=21270582&vpid=44783098&ct=offers, 19, None, None, GBP, 0.4, 0.4, 0.1383, 0.1383, 0.1383
Digi-Key, P15086TR-ND, 33000, 1000, https://octopart.com/click/track?ak=8308f058&sig=03ea642&sid=459&ppid=21270582&vpid=44783099&ct=offers, 19, None, None, GBP, -, -, -, -, 0.078187
Mouser, 667-EEE-FT1C101AR, 9488, 1, https://octopart.com/click/track?ak=8308f058&sig=0a97c97&sid=2401&ppid=21270582&vpid=46107577&ct=offers, -, None, None, GBP, 0.42, 0.42, 0.42, 0.42, 0.084345
Newark, 01X0904, 2000, 1000, https://octopart.com/click/track?ak=8308f058&sig=09f4a14&sid=2402&ppid=21270582&vpid=84863631&ct=offers, -, None, None, GBP, -, -, -, -, 0.084345
Newark, 73T9156, 522, 1, https://octopart.com/click/track?ak=8308f058&sig=0e598bb&sid=2402&ppid=21270582&vpid=64490256&ct=offers, -, None, None, GBP, 0.42, 0.42, 0.148, 0.148, 0.148
