Digi-Key, 311-4.7KARCT-ND, 1867331, 1, https://octopart.com/click/track?ak=8308f058&sig=0dffff0&sid=459&ppid=40953538&vpid=114983401&ct=offers, 29, None, None, GBP, 0.08, 0.08, 0.08, 0.00477, 0.00477
Digi-Key, 311-4.7KARDKR-ND, 1867331, 1, https://octopart.com/click/track?ak=8308f058&sig=01cf226&sid=459&ppid=40953538&vpid=114983402&ct=offers, 29, None, None, GBP, 0.08, 0.08, 0.08, 0.00477, 0.00477
Digi-Key, 311-4.7KARTR-ND, 1865000, 5000, https://octopart.com/click/track?ak=8308f058&sig=006d436&sid=459&ppid=40953538&vpid=114983403&ct=offers, 29, None, None, GBP, -, -, -, -, 0.002461
Farnell, 1799499, 12915, 1, https://octopart.com/click/track?ak=8308f058&sig=042b07b&sid=819&ppid=40953538&vpid=480312750&ct=offers, -, None, None, GBP, 0.01, 0.01, 0.0055, 0.0055, 0.0055
Farnell, 2693764, 5000, 5000, https://octopart.com/click/track?ak=8308f058&sig=0ec9496&sid=819&ppid=40953538&vpid=480312749&ct=offers, -, None, None, GBP, -, -, -, -, 0.0042
Mouser, 603-RC0805JR-074K7L, 23051, 1, https://octopart.com/click/track?ak=8308f058&sig=0550b16&sid=2401&ppid=40953538&vpid=115837043&ct=offers, -, None, None, GBP, 0.08, 0.08, 0.08, 0.08, 0.003067
Newark, 98K7759, 15292, 10, https://octopart.com/click/track?ak=8308f058&sig=0baa696&sid=2402&ppid=40953538&vpid=115424461&ct=offers, -, None, None, GBP, -, -, -, 0.00537, 0.00537
Newark, 68R0273, 12915, 1, https://octopart.com/click/track?ak=8308f058&sig=0db9049&sid=2402&ppid=40953538&vpid=120437054&ct=offers, -, None, None, GBP, 0.08, 0.08, 0.08, 0.00537, 0.00537
Newark, 12AC2227, 5000, 5000, https://octopart.com/click/track?ak=8308f058&sig=0ca7932&sid=2402&ppid=40953538&vpid=479779144&ct=offers, -, None, None, GBP, -, -, -, -, 0.003067





